iter	RMSE
213	130.798296
214	130.5894103
215	130.5173437
216	130.4770761
217	130.4245125
218	130.3221431
219	130.2221084
220	130.1317701
221	130.0661896
222	130.0186061
223	129.9347814
224	129.8700839
225	129.6845476
226	129.5596023
227	129.448052
228	129.2926178
229	129.2452603
230	129.1770839
231	129.0513372
232	128.9215772
233	128.7928822
234	128.6968688
235	128.6198917
236	128.5190281
237	128.4187793
238	128.367803
239	128.2897085
240	128.197348
241	128.0987539
242	128.0086802
243	127.8632405
244	127.7210503
245	127.5915568
246	127.5393375
247	127.4180555
248	127.3315755
249	127.2515723
250	127.1899759
251	127.1395572
252	127.0037962
253	126.8750753
254	126.8404515
255	126.7504175
256	126.6438143
257	126.559891
258	126.4078656
259	126.2820506
260	126.1542917
261	126.064349
262	125.9866071
263	125.9319875
264	125.8310444
265	125.7743688
266	125.6643648
267	125.4613989
268	125.3919328
269	125.2865498
270	125.2567539
271	125.0924971
272	125.0397432
273	124.955807
274	124.8915639
275	124.848641
276	124.7838314
277	124.670567
278	124.6071247
279	124.4897809
280	124.4275416
281	124.3205297
282	124.2670744
283	124.1274292
284	123.9799382
285	123.9026618
286	123.8478996
287	123.7896023
288	123.7060039
289	123.6191614
290	123.520567
291	123.4523579
292	123.3645686
293	123.3213014
294	123.2641748
295	123.1612366
296	123.0449885
297	122.9803511
298	122.8729172
299	122.7785792
300	122.6630103
301	122.6107282
302	122.5409242
303	122.4311754
304	122.298892
305	122.2107777
306	122.1347825
307	122.0436089
308	121.9530793
309	121.8574181
310	121.7751903
311	121.7183252
312	121.6725142
313	121.499527
314	121.4142702
315	121.3527838
316	121.3130021
317	121.2821494
318	121.2044389
319	121.1396753
320	121.0884801
321	121.0152437
322	120.8986339
323	120.8304355
324	120.7358504
325	120.6637792
326	120.5752454
327	120.5161368
328	120.4318603
329	120.3627986
330	120.2886403
331	120.255764
332	120.1706488
333	120.0933849
334	120.0444373
335	119.9209036
336	119.8393254
337	119.8036494
338	119.7560716
339	119.6864953
340	119.6429173
341	119.575553
342	119.4953525
343	119.40051
344	119.3470743
345	119.2899917
346	119.1505702
347	119.0733659
348	119.0110014
349	118.9319308
350	118.8705345
351	118.8014954
352	118.7505887
353	118.7115006
354	118.6518544
355	118.5608533
356	118.469275
357	118.3953733
358	118.3108894
359	118.2636996
360	118.2148345
361	118.151242
362	118.0559098
363	118.0103612
364	117.9025932
365	117.8197493
366	117.7540919
367	117.6777533
368	117.6095202
369	117.57168
370	117.4823076
371	117.4015038
372	117.3572518
373	117.2735425
374	117.2097751
375	117.1622486
376	117.0888645
377	117.0279189
378	116.9881175
379	116.9086656
380	116.8055463
381	116.7534557
382	116.6567186
383	116.6046435
384	116.5260025
385	116.4777568
386	116.4247692
387	116.3572169
388	116.3081133
389	116.267325
390	116.215544
391	116.1745763
392	116.1093332
393	116.049963
394	116.0101435
395	115.9301865
396	115.8583517
397	115.7872331
398	115.708662
399	115.6621716
400	115.6309053
401	115.5829973
402	115.4812572
403	115.4084445
404	115.364302
405	115.2421967
406	115.1782445
407	115.1284665
408	115.0975233
409	115.0351389
410	114.9958567
411	114.9368141
412	114.8243034
413	114.7646168
414	114.7101175
415	114.6723595
416	114.5774724
417	114.5493282
418	114.4679187
419	114.4357243
420	114.3914858
421	114.3383819
422	114.3203175
423	114.2685375
424	114.2163718
425	114.1744018
426	114.1254375
427	114.0465888
428	113.9742977
429	113.9439135
430	113.8770321
431	113.8118265
432	113.7115236
433	113.6527702
434	113.5884016
435	113.5501737
436	113.5007313
437	113.4761139
438	113.4314186
439	113.3769731
440	113.3039034
441	113.227802
442	113.1831165
443	113.0689061
444	113.0307116
445	113.0062342
446	112.940697
447	112.8836075
448	112.7965207
449	112.7545299
450	112.696984
451	112.6312214
452	112.5752509
453	112.5533408
454	112.5113663
455	112.4230221
456	112.3846322
457	112.3068338
458	112.2473396
459	112.2295404
460	112.1487201
461	112.1009327
462	112.0411853
463	111.9966378
464	111.9147125
465	111.868207
466	111.8365298
467	111.8212857
468	111.7523234
469	111.7251049
470	111.6459703
471	111.5951076
472	111.5425797
473	111.4983617
474	111.4389818
475	111.3747073
476	111.3328733
477	111.2989943
478	111.2305804
479	111.1795544
480	111.1225143
481	111.0652028
482	111.0271583
483	110.9764965
484	110.9168001
485	110.8521009
486	110.7880383
487	110.6911883
488	110.6119906
489	110.5387779
490	110.4965529
491	110.4296701
492	110.3564655
493	110.2419939
494	110.1835199
495	110.11557
496	110.0311978
497	110.0125256
498	109.962957
499	109.9131543
500	109.864864
501	109.8093799
502	109.7686431
503	109.7111228
504	109.6764483
505	109.6504575
506	109.5957214
507	109.5624074
508	109.5124734
509	109.4967771
510	109.4352216
511	109.3869599
512	109.3327589
513	109.3151476
514	109.2697286
515	109.2355082
516	109.2203148
517	109.1756603
518	109.1205724
519	109.0566305
520	109.0162374
521	108.9860106
522	108.9298812
523	108.8907787
524	108.8447975
525	108.8243549
526	108.783581
527	108.7283256
528	108.6894438
529	108.6266788
530	108.5876542
531	108.5304735
532	108.4806174
533	108.4461238
534	108.4086443
535	108.3741945
536	108.3339014
537	108.3039935
538	108.2703855
539	108.233838
540	108.1888689
541	108.1284559
542	108.0684843
543	108.0409716
544	107.9878631
545	107.9393692
546	107.8828301
547	107.8470206
548	107.7780236
549	107.7438386
550	107.723144
551	107.6871534
552	107.6367564
553	107.6013204
554	107.5601366
555	107.5203306
556	107.4767175
557	107.4270179
558	107.4137311
559	107.3615489
560	107.2707025
561	107.2338895
562	107.2003952
563	107.1305525
564	107.0737582
565	107.0119496
566	106.9649424
567	106.9226115
568	106.8957486
569	106.842653
570	106.7906209
571	106.7581411
572	106.7171212
573	106.6690343
574	106.6256565
575	106.5649813
576	106.5411767
577	106.5061968
578	106.4453552
579	106.420104
580	106.3900701
581	106.3496251
582	106.3046044
583	106.2761492
584	106.2408824
585	106.1831136
586	106.1461866
587	106.1039842
588	106.0829094
589	106.0583439
590	105.9979457
591	105.9342669
592	105.8967024
593	105.8731778
594	105.833558
595	105.7587863
596	105.7209479
597	105.6945659
598	105.6511387
599	105.6255508
600	105.5847878
601	105.5401337
602	105.4913656
603	105.4540453
604	105.3938321
605	105.3370138
606	105.3024503
607	105.2768932
608	105.2254633
609	105.1937268
610	105.1735962
611	105.1533503
612	105.0985105
613	105.0567088
614	104.9901225
615	104.9629257
616	104.9239105
617	104.8804873
618	104.8165855
619	104.7826643
620	104.7427701
621	104.7054269
622	104.6488277
623	104.5955024
624	104.5576173
625	104.5245676
626	104.4755917
627	104.4421579
628	104.3919695
629	104.3320528
630	104.2862416
631	104.2483137
632	104.2295315
633	104.1510948
634	104.1042539
635	104.0877483
636	104.0505021
637	104.0082126
638	103.9710151
639	103.9407158
640	103.8958293
641	103.8589242
642	103.8187441
643	103.78884
644	103.7403483
645	103.7020229
646	103.6744879
647	103.6495038
648	103.600491
649	103.5712417
650	103.5185001
651	103.4816951
652	103.4353872
653	103.4065409
654	103.3734422
655	103.3211677
656	103.2801406
657	103.2154617
658	103.1874112
659	103.1460059
660	103.0997405
661	103.0510223
662	103.030879
663	102.9941428
664	102.9428028
665	102.8976297
666	102.8730022
667	102.8385774
668	102.8075596
669	102.7879001
670	102.757772
671	102.7187909
672	102.6946345
673	102.6590562
674	102.6253788
675	102.580969
676	102.5525359
677	102.5055235
678	102.4636153
679	102.451635
680	102.4277908
681	102.3920439
682	102.3791208
683	102.3582017
684	102.3257533
685	102.2841156
686	102.251348
687	102.2297287
688	102.2036756
689	102.1594879
690	102.1056578
691	102.0465455
692	101.993858
693	101.9583241
694	101.9139284
695	101.8743323
696	101.8588286
697	101.7879414
698	101.7635202
699	101.7216584
700	101.69433
701	101.6606248
702	101.6401157
703	101.5969123
704	101.5694405
705	101.5463034
706	101.5353089
707	101.4663519
708	101.4375645
709	101.3842544
710	101.3527001
711	101.3167781
712	101.2850351
713	101.2268338
714	101.1943616
715	101.1536489
716	101.1281733
717	101.0916409
718	101.0377936
719	101.0199677
720	100.9862575
721	100.9534169
722	100.9238629
723	100.8822695
724	100.8412819
725	100.8065045
726	100.7793847
727	100.727013
728	100.6989027
729	100.6728312
730	100.6400385
731	100.603155
732	100.5809428
733	100.5481859
734	100.5270985
735	100.5014619
736	100.4829568
737	100.4675692
738	100.4441011
739	100.4194188
740	100.3776744
741	100.3449944
742	100.303082
743	100.267624
744	100.2211567
745	100.1762091
746	100.1634785
747	100.1398093
748	100.0967982
749	100.0691944
750	100.0278797
751	99.99188612
752	99.95724383
753	99.93045003
754	99.89375337
755	99.84871591
756	99.83894589
757	99.80672798
758	99.77454834
759	99.75109304
760	99.72527153
761	99.67961184
762	99.64939213
763	99.60173819
764	99.56913532
765	99.54918278
766	99.49432688
767	99.46563119
768	99.41834034
769	99.39238378
770	99.38240601
771	99.34948011
772	99.3214649
773	99.29923985
774	99.26957234
775	99.23758094
776	99.2173265
777	99.17212671
778	99.14147473
779	99.09271021
780	99.06161086
781	99.01972726
782	98.98497343
783	98.94682177
784	98.9247548
785	98.88895121
786	98.86683812
787	98.84182052
788	98.81758983
789	98.77032036
790	98.75261123
791	98.72316677
792	98.70144724
793	98.67059038
794	98.64282442
795	98.61117987
796	98.57738301
797	98.55760855
798	98.52501741
799	98.50155641
800	98.47276614
801	98.43798208
802	98.43005444
803	98.39797288
804	98.33857889
805	98.30902614
806	98.28825443
807	98.26067825
808	98.23442124
809	98.18494402
810	98.14697888
811	98.11110743
812	98.07625263
813	98.06368299
814	98.03829035
815	98.00746473
816	97.97571639
817	97.9461562
818	97.92719424
819	97.87977523
820	97.85564466
821	97.80893053
822	97.79325044
823	97.75794298
824	97.72641334
825	97.69399973
826	97.63920318
827	97.63174457
828	97.61143667
829	97.5804033
830	97.55240154
831	97.52248577
832	97.49447599
833	97.45828782
834	97.43392474
835	97.40970158
836	97.37863518
837	97.34596902
838	97.28921973
839	97.26630699
840	97.23553589
841	97.1859156
842	97.14689384
843	97.12542903
844	97.09223437
845	97.03807328
846	97.01020933
847	96.96736141
848	96.94136085
849	96.9201234
850	96.90401193
851	96.87267374
852	96.84703654
853	96.82031995
854	96.80020886
855	96.77404032
856	96.75188011
857	96.73360909
858	96.70732018
859	96.66910874
860	96.64390216
861	96.61007845
862	96.58618648
863	96.545409
864	96.538936
865	96.50452974
866	96.47959629
867	96.45340148
868	96.38526917
869	96.37202295
870	96.35243825
871	96.32490541
872	96.27841342
873	96.25235472
874	96.23041118
875	96.20470829
876	96.16400889
877	96.13749814
878	96.11876851
879	96.10132644
880	96.06925248
881	96.0411962
882	96.01707192
883	95.98332329
884	95.96388187
885	95.93044435
886	95.91221654
887	95.90561577
888	95.87411529
889	95.82048775
890	95.77977181
891	95.76100286
892	95.73940609
893	95.70761198
894	95.66868448
895	95.63392611
896	95.60250181
897	95.56920433
898	95.55906444
899	95.52171571
900	95.5078227
901	95.47511974
902	95.40783844
903	95.38536043
904	95.34154416
905	95.32041922
906	95.2617378
907	95.24199917
908	95.2025442
909	95.18808348
910	95.15791363
911	95.14201469
912	95.10810868
913	95.0735588
914	95.02510004
915	94.9915376
916	94.96279909
917	94.93647358
918	94.91135711
919	94.87562758
920	94.84315692
921	94.81454622
922	94.78972648
923	94.7634143
924	94.73291825
925	94.70936111
926	94.68241083
927	94.63798248
928	94.6112822
929	94.56210949
930	94.53372173
931	94.50725648
932	94.47227369
933	94.44855808
934	94.42581967
935	94.40253404
936	94.3788602
937	94.36025118
938	94.31812506
939	94.29533112
940	94.26825772
941	94.23843019
942	94.20465679
943	94.18549345
944	94.16402848
945	94.13778847
946	94.10463625
947	94.07317587
948	94.06719983
949	94.05125353
950	94.0292926
951	93.99937137
952	93.97128578
953	93.95274664
954	93.93747506
955	93.91648184
956	93.89759351
957	93.87504566
958	93.85002106
959	93.82700886
960	93.78257459
961	93.76452359
962	93.74443755
963	93.70865004
964	93.68029795
965	93.66155273
966	93.64284381
967	93.61563451
968	93.59299747
969	93.56424744
970	93.54394445
971	93.52182848
972	93.50089614
973	93.45689671
974	93.42991207
975	93.40061587
976	93.3751511
977	93.34848662
978	93.30922728
979	93.28634796
980	93.2630306
981	93.24141507
982	93.21197611
983	93.18806345
984	93.16496487
985	93.12838286
986	93.10699335
987	93.08342582
988	93.06260496
989	93.03586092
990	93.0185721
991	93.01041186
992	92.99054337
993	92.96082656
994	92.94092631
995	92.89267002
996	92.8547345
997	92.83254725
998	92.80859032
999	92.78298384
