,date,open,high,low,close,volume,c_mar,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
0,2020-01-26,0.033708,0.035622,0.033508,0.035206,11712591.0,36971579.0,544915,143,113589577,794332.70629371,1.52095733,155903844151.00037,102503759045.38649,14776367535688.686,4.03612118532829e-05,0.34605197759318734,1.179e-05,0.10108598400500761,10.36229717,88845.03867529733,105038821.65141945,1787.5,3.58795,15325801.22213326,1787.5,15325801.22213326,169.77186747,90.78738245947169,1,8573.87480958504,141.03960073139137,18.470313309635845,18183592.32125828,256739,531800,107106.03937319,918313772.9362173,0.7019409000000001,6018.3534003274535,0.008331999999999999,71.43752491346255,373292.16875371,3200560322.292802,0.031014811130195462,0.0277561522572458,0.027353702418668087
1,2020-01-25,0.033617,0.034057,0.032863,0.033696,8579382.0,35385321.0,665971,164,140855870,858877.25609756,1.4807681000000001,151723062490.33078,102462406313.58813,14776367535688.678,4.015495887635373e-05,0.33508407964925296,1.137e-05,0.09488008684913796,11.37557861,94926.63909199614,120464103.15267676,2050.0,4.115375,17106787.866379313,2050.0,17106787.866379313,155.42555978,87.1767457938916,1,8344.77456896552,134.31489188605957,15.985995814532249,18181804.82125828,283292,605178,116980.79033110001,976178324.212451,0.56358656,4703.00279329876,0.00817306,68.20234323862933,341070.18903121,2846153839.6599045,0.030953613848463707,0.027459917841243568,0.0278400596082996
2,2020-01-24,0.033527,0.034383,0.032972,0.033619,10450403.0,35304282.0,720051,152,156322633,1028438.375,1.49494018,153135182382.82776,102435658939.0174,14776367535688.69,5.0276542172963505e-05,0.4234989707469453,1.631e-05,0.13738550652747755,15.67738221,132056.71955522473,111649656.58052978,1900.0,3.8146150000000003,16004442.820490947,1900.0,16004442.820490947,106.07904041,87.66153499875492,1,8423.39095815313,136.10878704853693,17.135126532453768,18179754.82125828,311823,662102,171379.32952184,1443595094.708613,0.77306826,6511.8561913191725,0.00998345,84.09450246117386,511850.03928569,4311512992.849405,0.03094718249569985,0.027341367830423898,0.027796337007696563
3,2020-01-23,0.034424,0.03494,0.032201,0.033523,10656584.0,35203884.0,789764,159,168864924,1062043.54716981,1.48547764,152082924891.57303,102379814510.73615,14776367535688.682,6.401893604720113e-05,0.5356070415479331,2.651e-05,0.22179285611630334,21.59230675,180649.5429732869,116791417.08094886,1987.5,3.99091,16628189.420262275,1987.5,16628189.420262275,73.15914209,86.5030519126376,1,8366.384613968441,135.54714851365236,15.627604967863938,18177854.82126374,337280,717457,248470.03809866,2078795903.780781,0.96916635,8108.418439015952,0.00996322,83.35613051358264,695335.18288594,5817441575.6478615,0.030950188427367787,0.02741873009749233,0.027979585748196676
4,2020-01-22,0.034222,0.035074,0.034164,0.034444,12842144.0,36171133.0,771727,156,161924846,1037979.78205128,1.53544323,157183091622.7691,102369848901.98984,14776367535688.686,6.534239775721551e-05,0.5650745525363862,2.884e-05,0.2494054496699241,21.32645178,184429.03245682566,114587805.43791208,1950.0,3.916085,16863405.92428405,1950.0,16863405.92428405,86.30314616,89.0818397220188,1,8647.90047399182,141.74322223261328,18.11250017126466,18175867.32126374,326380,689664,210604.92149413,1821290400.4140968,0.82153492,7104.552224068833,0.0093388,80.76101294651481,566583.06240173,4899753933.899657,0.030998102609733107,0.0266688813789139,0.028544763609380942
5,2020-01-21,0.034869,0.035327,0.033558,0.034228,11909825.0,35943819.0,756250,153,153823748,1005383.97385621,1.5503965,158674065182.00272,102344184493.86644,14776367535688.69,6.606721708595891e-05,0.5768241224484044,2.767e-05,0.2415831053906983,20.60207064,179873.95022369828,112384193.79487535,1912.5,3.8408949999999997,16697784.20888003,1912.5,16697784.20888003,96.38178326,89.64893307272219,1,8730.867560198709,146.93997605552067,16.732154309392463,18173917.3212692,311835,676784,188561.74586176,1646307630.0388732,0.72345435,6316.384115699645,0.00994423,86.8217551181548,489622.33022712,4274827719.7288632,0.030993708694863495,0.02698286959815912,0.028502523265345883
6,2020-01-20,0.035607,0.036656,0.034553,0.034878,6413892.0,36627062.0,741539,152,151469469,996509.66447368,1.53413892,156938136300.68027,102297212989.5937,14776367535688.69,5.7029561902692614e-05,0.4925220550556593,1.98e-05,0.17099792396689661,17.8483709,154143.15000460454,111649656.58052978,1900.0,3.81644,16408891.69379311,1900.0,16408891.69379311,77.19834233,88.37092315384024,1,8636.2587862069,144.0783792048869,20.950957124810373,18172004.8212692,312967,672694,235393.71796804,2032921065.0193946,0.96722168,8353.176732109798,0.00939107,81.10371079938405,650644.21841645,5619131847.993789,0.030993108543973105,0.028002516034669425,0.029146626935059112
7,2020-01-19,0.037279,0.037647,0.033949,0.035565,10133131.0,37348677.0,622774,150,129370394,862469.29333333,1.54314165,157850148001.62512,102291418509.09023,14776367535688.688,5.6805861221885476e-05,0.493492673235745,2.121e-05,0.18425879608524556,16.02521748,139216.75058316984,110180582.1518386,1875.0,3.766435,16288790.318709824,1875.0,16288790.318709824,130.10032981,89.15265929561846,1,8687.35483664524,135.6019368149033,20.922742313142127,18170104.82129466,282105,592806,139662.25026539,1213295525.3397937,0.61594977,5350.974213540024,0.00864162,75.07281930345023,365138.71904861,3172089616.973389,0.03099485638694598,0.02800606452173176,0.030188422126352955
8,2020-01-18,0.038188,0.038471,0.036447,0.037293,12123171.0,39163139.0,649187,132,128404905,972764.43181818,1.58583813,162209239871.51678,102286126428.74957,14776367535688.68,6.248191177784652e-05,0.5578498023689925,2.769e-05,0.2472213251495645,18.18036187,162317.55699530567,96958912.29361787,1650.0,3.3149300000000004,14731498.248348914,1650.0,14731498.248348914,122.40537796,91.34237298077164,1,8928.1807565751,147.35730655595654,24.93662630513229,18168229.82129466,290970,636149,148426.72866767,1325180662.652085,0.59310719,5295.368200344332,0.0081566,72.82359915908046,377304.54627182,3368643189.392363,0.031105647312831775,0.02727713350073011,0.0299670536237232
9,2020-01-17,0.036208,0.038686,0.035883,0.038226,17552781.0,40142376.0,756728,159,154093302,969140.26415094,1.58368313,161910403912.36755,102236615640.19064,14776367535688.682,7.526968284941522e-05,0.6708442025074651,3.3600000000000004e-05,0.2994614079794273,24.37864596,217275.70368492784,116791417.08094886,1987.5,3.9931,17713677.03449737,1987.5,17713677.03449737,67.65117842,91.42218507437842,1,8912.54190414962,144.8413664549993,22.34729052538648,18166579.82129466,323884,704309,268533.08760594,2393312395.9386215,1.07870681,9614.019646416562,0.01,89.1254190414962,759742.91679929,6771240582.354529,0.031161356418373705,0.027692036664518343,0.02999358103115372
