,base_form,past_form,past_participle,s_es_ies,ing_form
262,drag,dragged,dragged,drags,dragging
263,draw,drew,drawn,draws,drawing
264,dream,dreamt,dreamt,dreams,dreaming
265,dress,dressed,dressed,dresses,dressing
266,drill,drilled,drilled,drills,drilling
267,drink,drank,drunk,drinks,drinking
268,drive,drove,driven,drives,driving
269,drop,dropped,dropped,drops,dropping
270,dry,dried,dried,dries,drying
271,dump,dumped,dumped,dumps,dumping
272,dwell,dwelt,dwelt,dwells,dwelling
273,dye,dyed,dyed,dyes,dyeing
274,earn,earned,earned,earns,earning
275,eat,ate,eaten,eats,eating
276,educate,educated,educated,educates,educating
277,empower,empowered,empowered,empowers,empowering
278,empty,emptied,emptied,empties,emptying
279,encircle,encircled,encircled,encircles,encircling
280,encourage,encouraged,encouraged,encourages,encouraging
281,encroach,encroached,encroached,encroaches,encroaching
282,endanger,endangered,endangered,endangers,entangling
283,endorse,endorsed,endorsed,endorses,endorsing
284,endure,endured,endured,endures,enduring
285,engrave,engraved,engraved,engraves,engraving
286,enjoy,enjoyed,enjoyed,enjoys,enjoying
287,enlarge,enlarged,enlarged,enlarges,enlarging
288,enlighten,enlightened,enlightened,enlightens,enlightening
289,enter,entered,entered,enters,entering
290,envy,envied,envied,envies,envying
291,erase,erased,erased,erases,erasing
292,escape,escaped,escaped,escapes,escaping
293,evaporate,evaporated,evaporated,evaporates,evaporating
294,exchange,exchanged,exchanged,exchanges,exchanging
295,exclaim,exclaimed,exclaimed,exclaims,exclaiming
296,exclude,excluded,excluded,excludes,excluding
297,exist,existed,existed,exists,existing
298,expand,expanded,expanded,expands,expanding
299,expect,expected,expected,expects,expecting
300,explain,explained,explained,explains,explaining
301,explore,explored,explored,explores,exploring
302,express,expressed,expressed,expresses,expressing
303,extend,extended,extended,extends,extending
304,eye,eyed,eyed,eyes,eyeing
305,face,faced,faced,faces,facing
306,fail,failed,failed,fails,failing
307,faint,fainted,fainted,faints,fainting
308,fall,fell,fallen,falls,falling
309,fan,fanned,fanned,fans,fanning
310,fancy,fancied,fancied,fancies,fancying
311,favour,favoured,favoured,favours,favouring
312,fax,faxed,faxed,faxes,faxing
313,feed,fed,fed,feeds,feeding
314,feel,felt,felt,feels,feeling
315,ferry,ferried,ferried,ferries,ferrying
316,fetch,fetched,fetched,fetches,fetching
317,fight,fought,fought,fights,fighting
318,fill,filled,filled,fills,filling
319,find,found,found,finds,finding
320,finish,finished,finished,finishes,finishing
321,fish,fished,fished,fishes,fishing
322,fit,fit/fitted,fit/fitted,fits,fitting
323,fix,fixed,fixed,fixes,fixing
324,fizz,fizzed,fizzed,fizzes,fizzing
325,flap,flapped,flapped,flaps,flapping
326,flash,flashed,flashed,flashes,flashing
327,flee,fled,fled,flees,fleeing
328,fling,flung,flung,flings,flinging
329,float,floated,floated,floats,floating
330,flop,flopped,flopped,flops,flopping
331,fly,flew,flown,flies,flying
332,fold,folded,folded,folds,folding
333,follow,followed,followed,follows,following
334,forbid,forbade,forbidden,forbids,forbidding
335,force,forced,forced,forces,forcing
336,forecast,forecast,forecast,forecasts,forecasting
337,foretell,foretold,foretold,foretells,foretelling
338,forget,forgot,forgotten,forgets,forgetting
339,forgive,forgave,forgiven,forgives,forgiving
340,forlese,forlore,forlorn,forlese,forlesing
341,form,formed,formed,forms,forming
342,forsake,forsook,forsaken,forsakes,forsaking
343,found,founded,founded,founds,founding
344,frame,framed,framed,frames,framing
345,free,freed,freed,frees,freeing
346,freeze,froze,frozen,freezes,freezing
347,frighten,frightened,frightened,frightens,frightening
348,fry,fried,fried,fries,frying
349,fulfil,fulfilled,fulfilled,fulfils,fulfilling
350,gag,gagged,gagged,gags,gagging
351,gain,gained,gained,gains,gaining
352,gainsay,gainsaid,gainsaid,gainsays,gainsaying
353,gash,gashed,gashed,gashes,gashing
354,gaze,gazed,gazed,gazes,gazing
355,get,got,got,gets,getting
356,give,gave,given,gives,giving
357,glance,glanced,glanced,glances,glancing
358,glitter,glittered,glittered,glitters,glittering
359,glow,glowed,glowed,glows,glowing
360,go,went,gone,goes,going
361,google,googled,googled,googles,googling
