PELÍCULA,DIRECTOR,CICLO/ESTRENO,PAIS,ASISTENCIA,FUNCIONES,GENERO,PERIODO,MES,EXHIBIDA
3 mujeres o (despertando de mi sueño bosnio),Sergio Flores Thorija,Continua en Cartelera,Bosnia y Herzegovina / México,147,4,ADULTOS,2018,ENERO,SALA
Coco (doblada),Lee Unkrich / Adrián Molina,Continua en Cartelera,EUA,3882,15,NIÑOS,2018,ENERO,SALA
Coco (subtitulada),Lee Unkrich / Adrián Molina,Continua en Cartelera,EUA,2539,13,NIÑOS,2018,ENERO,SALA
"Yo, Olga. Historia de una asesina",Petr Kazda / Tomáš Weinreb,Continua en Cartelera,República Checa / Polonia / Francia / Eslovaquia,2979,20,ADULTOS,2018,ENERO,SALA
Somos lengua,Kyzza Terrazas,Continua en Cartelera,México,114,4,ADULTOS,2018,ENERO,SALA
Batallas íntimas,Lucía Gajá,Continua en Cartelera,México,154,4,ADULTOS,2018,ENERO,SALA
The Square: la farsa del arte,Ruben Östlund,Continua en Cartelera,Suecia-Alemania-Francia-Dinamarca,1274,9,ADULTOS,2018,ENERO,SALA
Cartas de Van Gogh,Dorota Kobiela - Hugh Welchman,Continua en Cartelera,Reino Unido,20264,70,ADULTOS,2018,ENERO,SALA
Era el Hotel Cambridge,Eliane Caffé,Continua en Cartelera,Brasil / Francia,108,4,ADULTOS,2018,ENERO,SALA
120 latidos por minuto,Robin Campillo,Continua en Cartelera,Francia,1653,14,ADULTOS,2018,ENERO,SALA
Casa Roshell,Camila José Donoso,Continua en Cartelera,México / Chile,616,24,ADULTOS,2018,ENERO,SALA
La cordillera,Santiago Mitre,Continua en Cartelera,Argentina / España / Francia,244,4,ADULTOS,2018,ENERO,SALA
Qué pesado este fastidio,Kazik Radwansk,Continua en Cartelera,Canadá,456,23,ADULTOS,2018,ENERO,SALA
La cazadora de águilas,Otto Bell,Continua en Cartelera,Reino Unido-Mongolia-EUA,1479,30,ADULTOS,2018,ENERO,SALA
Una bella luz interior,Claire Denis,Continua en Cartelera,Francia,6705,54,ADULTOS,2018,ENERO,SALA
Safari,Ulrich Seidl,Continua en Cartelera,Austria,351,19,ADULTOS,2018,ENERO,SALA
Elevador,Adrián Ortíz,Continua en Cartelera,México,442,22,ADULTOS,2018,ENERO,SALA
Detroit: zona de conflicto,Kathryn Bigelow,Continua en Cartelera,EUA,1322,16,ADULTOS,2018,ENERO,SALA
Rostros de una mujer,Arnaud des Pallieres,Continua en Cartelera,Francia,1752,21,ADULTOS,2018,ENERO,SALA
Días cortos,Ted Fendt,Continua en Cartelera,EUA,1053,28,ADULTOS,2018,ENERO,SALA
Historia de fantasmas,David Lowery,Continua en Cartelera,EUA,10933,54,ADULTOS,2018,ENERO,SALA
Good time: viviendo al límite,Josh Safdie / Benny Safdie,Continua en Cartelera,EUA,3933,41,ADULTOS,2018,ENERO,SALA
La tortuga primordial,Eduardo Quiroz,Continua en Cartelera,México,545,14,ADULTOS,2018,ENERO,SALA
Míster Universo,Tizza Covi y Rainer Frimmel,Continua en Cartelera,Italia-Austria-Portugal,837,34,ADULTOS,2018,ENERO,SALA
Zama,Lucrecia Martel,Continua en Cartelera,Argentina / Brasil / España / Francia / México / EUA / Holanda / Portugal,1423,37,ADULTOS,2018,ENERO,SALA
Mañana psicotrópica,Alexandro Aldrete,Estrenos,México,1312,24,ADULTOS,2018,ENERO,SALA
Frantz,François Ozon,Estrenos,"Francia, Alemania",3032,43,ADULTOS,2018,ENERO,SALA
Amor (Dir. Roberto Rossellini),Roberto Rossellini,Estrenos,Italia,1645,25,ADULTOS,2018,ENERO,SALA
Recién casi muero,Toshimasa Kobayashi,Estrenos,Japón,1476,30,ADULTOS,2018,ENERO,SALA
La forma del agua,Guillermo del Toro,Estrenos,EUA,15385,43,ADULTOS,2018,ENERO,SALA
La rueda de la maravilla,Woody Allen,Estrenos,EUA,6509,34,ADULTOS,2018,ENERO,SALA
Abril y el mundo extraordinario,Christian Desmares y Franck Ekinci,Estrenos,Francia / Bélgica / Canadá,2713,25,ADULTOS,2018,ENERO,SALA
Los presentes,Alejandro Molina,Estrenos,México,493,20,ADULTOS,2018,ENERO,SALA
Beach rats: ratas de playa,Eliza Hittman,Estrenos,EUA,2670,31,ADULTOS,2018,ENERO,SALA
En la penumbra,Fatih Akin,Estrenos,Alemania / Francia,3588,31,ADULTOS,2018,ENERO,SALA
Las horas más oscuras,Joe Wright,Estrenos,Reino Unido,5356,24,ADULTOS,2018,ENERO,SALA
Amazona,Clare Weiskopf y Nicolás van Hemelryck,Estrenos,Colombia,811,14,ADULTOS,2018,ENERO,SALA
Todo lo demás,Natalia Almada,Estrenos,EUA / México,1106,22,ADULTOS,2018,ENERO,SALA
The Disaster Artist: obra maestra,James Franco,Estrenos,EUA,3007,21,ADULTOS,2018,ENERO,SALA
3 anuncios por un crimen,Martin MacDonagh,Estrenos,EUA / Reino Unido,3076,12,ADULTOS,2018,ENERO,SALA
Charco: canciones del Río de la plata,Julián Chalde,Estrenos,Argentina,129,5,ADULTOS,2018,ENERO,SALA
Bella y perdida,Pietro Marcello,Estrenos,Italia,282,5,ADULTOS,2018,ENERO,SALA
A pesar de la noche,Philippe Grandrieux,Estrenos,Francia / Canadá,629,8,ADULTOS,2018,ENERO,SALA
Tiburón,Steven Spielberg,Clásicos en pantalla grande,EUA,344,2,ADULTOS,2018,ENERO,SALA
Sensualidad,Alberto Gout,Clásicos en pantalla grande,México,204,2,ADULTOS,2018,ENERO,SALA
Todos los hombres del presidente,Alan J. Pakula,Clásicos en pantalla grande,EUA,402,2,ADULTOS,2018,ENERO,SALA
La marquesa de O,Éric Rohmer,Clásicos en pantalla grande,Alemania,228,2,ADULTOS,2018,ENERO,SALA
Maten al león,José Estrada,Charlas sobre cine y literatura: 90 años de Jorge Ibargüengoitia,México,190,1,ADULTOS,2018,ENERO,SALA
Dos crímenes,Roberto Sneider,Charlas sobre cine y literatura: 90 años de Jorge Ibargüengoitia,México,190,1,ADULTOS,2018,ENERO,SALA
Estas ruinas que ves,Julián Pastor,Charlas sobre cine y literatura: 90 años de Jorge Ibargüengoitia,México,190,1,ADULTOS,2018,ENERO,SALA
Un mundo raro,Armando Casas,Conversando con nuestros cineastas: Armando Casas,México,84,1,ADULTOS,2018,ENERO,SALA
Familia Gang,Armando Casas,Conversando con nuestros cineastas: Armando Casas,México,81,1,ADULTOS,2018,ENERO,SALA
Seminario de experiencias de archivo 1. A plena luz: Descubrimientos de cine experimental argentino,Federico Windhausen,Seminario de experiencias de archivo,Varios,34,1,ADULTOS,2018,ENERO,SALA
Disney y su doblaje,"Raúl Aldana, Francisco Colmenero, Mario Filio, Romina Marroquín, Matías Quintanam Ricardo Tejedo, Rosalía Valdés",Extensión académica,Varios,190,1,ADULTOS,2018,ENERO,SALA
Paraíso: Esperanza,Ulrich Seidl,Función vinculación,Austria / Francia / Alemania,178,1,ADULTOS,2018,ENERO,SALA
Por si no te vuelvo a ver,Juan Pablo Villaseñor,Función vinculación,México,28,1,ADULTOS,2018,ENERO,SALA
Llámame por tu nombre,Luca Guadagnino,Función especial,Italia,180,1,ADULTOS,2018,ENERO,SALA
The exhibition of a film / Una exposición de Mathieu,Mathieu Copeland,Función especial,Varios,80,2,ADULTOS,2018,ENERO,SALA
Presentación del libro: Alquimia audiovisual,"Juan José Olivares, Alvino Álvarez y Mireya Vega",Función especial,Varios,57,1,ADULTOS,2018,ENERO,SALA
Sueño en otro idioma,Ernesto Contreras,Función especial,México,180,1,ADULTOS,2018,ENERO,SALA
La fábrica de nada,Pedro Pinho,Semana de cine portugués,Portugal,100,1,ADULTOS,2018,ENERO,SALA
Aquí en Lisboa,"Gabriel Abrantes, Denis Côté, Marie Losier y Dominga Sotomayor",Semana de cine portugués,Portugal,130,1,ADULTOS,2018,ENERO,SALA
El espectador espantado,Edgar Pêra,Semana de cine portugués,Portugal,37,1,ADULTOS,2018,ENERO,SALA
El dorado XXI,Salomé llamas,Semana de cine portugués,Portugal,39,1,ADULTOS,2018,ENERO,SALA
Joao Benard da Costa: otros amarán las cosas que yo amé,Manuel Mozos Portugal,Semana de cine portugués,Portugal,39,1,ADULTOS,2018,ENERO,SALA
"El cine, Manoel de Oliveira y yo",João Botelho,Semana de cine portugués,Portugal,50,1,ADULTOS,2018,ENERO,SALA
El diario de los Beiras,João Canijo y Anabela Moreira,Semana de cine portugués,Portugal,27,1,ADULTOS,2018,ENERO,SALA
"Portugal, un día cada vez",João Canijo y Anabela Moreira,Semana de cine portugués,Portugal,47,1,ADULTOS,2018,ENERO,SALA
Río Corgo,Maya Kosa y Sérgio de Costa,Semana de cine portugués,Portugal,65,1,ADULTOS,2018,ENERO,SALA
La 15° piedra,Rita Acevedo Gómez,Semana de cine portugués,Portugal,46,1,ADULTOS,2018,ENERO,SALA
Margarita,Bruno Santamaría,Miradas del presente,México,259,2,ADULTOS,2018,ENERO,SALA
La historia negra del cine mexicano,Andrés García Franco,Miradas del presente,México,170,2,ADULTOS,2018,ENERO,SALA
Distancias cortas,Alejandro Guzmán,Miradas del presente,México,295,2,ADULTOS,2018,ENERO,SALA
El albergue,Alejandra Islas,Miradas del presente,México,92,2,ADULTOS,2018,ENERO,SALA
No hay lugar lejano,Michelle Ibaven,Miradas del presente,México,70,2,ADULTOS,2018,ENERO,SALA
Sunú,Teresa Camou,Miradas del presente,México,65,2,ADULTOS,2018,ENERO,SALA
El buen cristiano,Izabel Acevedo,Miradas del presente,México,41,2,ADULTOS,2018,ENERO,SALA
"Si corre o vuela, a la cazuela",Salomón Morales Olvera y Rogelio Calderon Jiménez,Miradas del presente,México,156,2,ADULTOS,2018,ENERO,SALA
Burros,Odín Salazar,Miradas del presente,México,310,2,ADULTOS,2018,ENERO,SALA
El remolino,Laura Herrero Garvín,Miradas del presente,México,87,2,ADULTOS,2018,ENERO,SALA
Milagros embotellados,Shady Sou,XV Festival Internacional de Cine Judío en México,Israel,222,2,ADULTOS,2018,ENERO,SALA
Armonía,Sivan Ori,XV Festival Internacional de Cine Judío en México,Israel,310,3,ADULTOS,2018,ENERO,SALA
Boda con el enemigo,Badar & Ghazi Albuliwi,XV Festival Internacional de Cine Judío en México,EUA / Israel,270,3,ADULTOS,2018,ENERO,SALA
"Hasta pronto, Alemania",Sam Garbarski,XV Festival Internacional de Cine Judío en México,Alemania / Bélgica,289,3,ADULTOS,2018,ENERO,SALA
El repostero de Berlín,Ofir Raul Graizer,XV Festival Internacional de Cine Judío en México,"Alemania, Israel",234,3,ADULTOS,2018,ENERO,SALA
Una historia de amor en Hollywood,Daniel Raim,XV Festival Internacional de Cine Judío en México,EUA,263,4,ADULTOS,2018,ENERO,SALA
Guerra en la cancha,Eyal Halfon,XV Festival Internacional de Cine Judío en México,Israel / Alemania / Portugal,111,2,ADULTOS,2018,ENERO,SALA
"Pulp: una película de la vida, la muerte y los supermercados",Florian Habicht,Festival de Cine de Música de México,Gran Bretaña,174,1,ADULTOS,2018,ENERO,SALA
Toy Story,John Lasseter,El legado de Pixar,EUA,117,1,NIÑOS,2018,ENERO,SALA
Toy Story 2,"John Lasseter, Ash Brannon y Lee Unkrich",El legado de Pixar,EUA,150,2,NIÑOS,2018,ENERO,SALA
Buscando a Nemo,Andrew Stanton y Lee Unkrich,El legado de Pixar,EUA,11,1,NIÑOS,2018,ENERO,SALA
Los increíbles,Brad Bird,El legado de Pixar,EUA,39,1,NIÑOS,2018,ENERO,SALA
Ratatouille,Brad Bird y Jan Pinkava,El legado de Pixar,EUA,50,1,NIÑOS,2018,ENERO,SALA
Wall-E,Andrew Stanton,El legado de Pixar,EUA,83,2,NIÑOS,2018,ENERO,SALA
"Up, una aventura de altura",Pete Docter y Bob Paterson,El legado de Pixar,EUA,111,2,NIÑOS,2018,ENERO,SALA
Toy Story 3,Lee Unkrich,El legado de Pixar,EUA,317,3,NIÑOS,2018,ENERO,SALA
Valiente,"Mark Andrews, Brenda Chapman y Steve Purcell",El legado de Pixar,EUA,157,1,NIÑOS,2018,ENERO,SALA
Intensa-mente,Pete Docter y Ronnie Del Carmen,El legado de Pixar,EUA,51,1,NIÑOS,2018,ENERO,SALA
Noches de Short México (25/01/18),Varios,Shorts México,Varios,28,1,ADULTOS,2018,ENERO,SALA
Loving south,Oliver Rendón,Shorts México,México,,,ADULTOS,2018,ENERO,SALA
The fourth kingdom,Aliaga & Alex Lora,Shorts México,España,,,ADULTOS,2018,ENERO,SALA
Nos faltan,Lucía Gajá / Emilio Ramos,Shorts México,México,,,ADULTOS,2018,ENERO,SALA
What they believe,Shoko Hara,Shorts México,Japón,,,ADULTOS,2018,ENERO,SALA
Soy Alex,Itzuri Sa?nchez / Joss Manz,Shorts México,España / México,,,ADULTOS,2018,ENERO,SALA
Filamentos,Ma. Luisa Alba Rendo?n,Shorts México,México,,,ADULTOS,2018,ENERO,SALA
Satie's Parade,Koji Yamamura,Shorts México,Japón,,,ADULTOS,2018,ENERO,SALA
Ticho / Júba Wajiín. Resistencia en la Montaña de Guerrero (26/01/18),Varios,Cineclub 43,México,143,1,ADULTOS,2018,ENERO,SALA
Charla: Una mirada sobre cine catalán,Esteve Riambau,Básicos de cine catalán,Varios,43,1,ADULTOS,2018,FEBRERO,SALA
Pan negro,Agustí Villaronga,Básicos de cine catalán,España,234,2,ADULTOS,2018,FEBRERO,SALA
Angustia,Bigas Luna,Básicos de cine catalán,España,215,2,ADULTOS,2018,FEBRERO,SALA
Vida en sombras,Llorenç Llobet Gràcia,Básicos de cine catalán,España,154,2,ADULTOS,2018,FEBRERO,SALA
La plaza del diamante,Francesc Betriu,Básicos de cine catalán,España,114,2,ADULTOS,2018,FEBRERO,SALA
Noche de vino tinto,José María Nunes,Básicos de cine catalán,España,109,2,ADULTOS,2018,FEBRERO,SALA
"Bicicleta, cuchara, manzana",Carles Bosch,Básicos de cine catalán,España,97,2,ADULTOS,2018,FEBRERO,SALA
Dante no es únicamente severo,Jacinto Esteva y Joaquim Jordà,Básicos de cine catalán,España,84,2,ADULTOS,2018,FEBRERO,SALA
Los Tarantos,Francisco Rovira Beleta,Básicos de cine catalán,España,61,2,ADULTOS,2018,FEBRERO,SALA
Apartado de correos 1001,Julio Salvador,Básicos de cine catalán,España,59,2,ADULTOS,2018,FEBRERO,SALA
Chomón esencial,Segundo de Chómon,Básicos de cine catalán,España,54,1,ADULTOS,2018,FEBRERO,SALA
"Ocaña, retrato intermitente",Ventura Pons,Básicos de cine catalán,España,32,2,ADULTOS,2018,FEBRERO,SALA
La piel quemada,Josep María Forn,Básicos de cine catalán,España,31,2,ADULTOS,2018,FEBRERO,SALA
Angustia,Bigas Luna,Básicos de cine catalán,España,8,3,ADULTOS,2018,FEBRERO,SALA
Ritmes cromàtics,Jordi Artigas,Básicos de cine catalán,España,,,ADULTOS,2018,FEBRERO,SALA
Los orígenes,Varios,Básicos de cine catalán,España,71,1,ADULTOS,2018,FEBRERO,SALA
Guerra civil en Cataluña,Varios,Básicos de cine catalán,España,29,1,ADULTOS,2018,FEBRERO,SALA
Cine experimental,Varios,Básicos de cine catalán,España,47,2,ADULTOS,2018,FEBRERO,SALA
Pintura,Toni Sirera,Básicos de cine catalán,España,,,ADULTOS,2018,FEBRERO,SALA
Miserere,Benet Rossell y Antoni Miralda,Básicos de cine catalán,España,,,ADULTOS,2018,FEBRERO,SALA
"LA, RE, MI, LA",Santos,Básicos de cine catalán,España,,,ADULTOS,2018,FEBRERO,SALA
La secta de los misteriosos,Albert Marro,Básicos de cine catalán,España,,,ADULTOS,2018,FEBRERO,SALA
Ice Cream,Padrós,Básicos de cine catalán,España,,,ADULTOS,2018,FEBRERO,SALA
"Forma, color y ritmo",Josep Mestres,Básicos de cine catalán,España,,,ADULTOS,2018,FEBRERO,SALA
Espanya al Dia. Edició Especial,Prod. Laya Films,Básicos de cine catalán,España,,,ADULTOS,2018,FEBRERO,SALA
Els Tapers de la Costa,Prod. Laya Films,Básicos de cine catalán,España,,,ADULTOS,2018,FEBRERO,SALA
El heredero de Casa Pruna,Segundo de Chómon,Básicos de cine catalán,España,,,ADULTOS,2018,FEBRERO,SALA
Catalunya Màrtir,Prod. Laya Films,Básicos de cine catalán,España,,,ADULTOS,2018,FEBRERO,SALA
BiBiCi Story,Carles Duran,Básicos de cine catalán,España,,,ADULTOS,2018,FEBRERO,SALA
Barcelona en tranvía,Ricardo de Baños,Básicos de cine catalán,España,,,ADULTOS,2018,FEBRERO,SALA
Ballet burlón,Fermí Marimón,Básicos de cine catalán,España,,,ADULTOS,2018,FEBRERO,SALA
Cartas de Van Gogh,Dorota Kobiela - Hugh Welchman,Continua en Cartelera,Reino Unido,4632,28,ADULTOS,2018,FEBRERO,SALA
Las horas más oscuras,Joe Wright,Continua en Cartelera,Reino Unido,3026,26,ADULTOS,2018,FEBRERO,SALA
Mañana psicotrópica,Alexandro Aldrete,Continua en Cartelera,México,233,6,ADULTOS,2018,FEBRERO,SALA
Los presentes,Alejandro Molina,Continua en Cartelera,México,102,6,ADULTOS,2018,FEBRERO,SALA
Recién casi muero,Toshimasa Kobayashi,Continua en Cartelera,Japón,379,13,ADULTOS,2018,FEBRERO,SALA
Míster Universo,Tizza Covi y Rainer Frimmel,Continua en Cartelera,Italia-Austria-Portugal,95,5,ADULTOS,2018,FEBRERO,SALA
Amor (Dir. Roberto Rossellini),Roberto Rossellini,Continua en Cartelera,Italia,44,1,ADULTOS,2018,FEBRERO,SALA
Bella y perdida,Pietro Marcello,Continua en Cartelera,Italia,1041,30,ADULTOS,2018,FEBRERO,SALA
Frantz,François Ozon,Continua en Cartelera,"Francia, Alemania",590,10,ADULTOS,2018,FEBRERO,SALA
A pesar de la noche,Philippe Grandrieux,Continua en Cartelera,Francia / Canadá,2053,31,ADULTOS,2018,FEBRERO,SALA
Abril y el mundo extraordinario,Christian Desmares y Franck Ekinci,Continua en Cartelera,Francia / Bélgica / Canadá,1988,19,NIÑOS,2018,FEBRERO,SALA
Una bella luz interior,Claire Denis,Continua en Cartelera,Francia,1189,15,ADULTOS,2018,FEBRERO,SALA
3 anuncios por un crimen,Martin MacDonagh,Continua en Cartelera,EUA / Reino Unido,8577,51,ADULTOS,2018,FEBRERO,SALA
Todo lo demás,Natalia Almada,Continua en Cartelera,EUA / México,871,21,ADULTOS,2018,FEBRERO,SALA
La forma del agua,Guillermo del Toro,Continua en Cartelera,EUA,11268,54,ADULTOS,2018,FEBRERO,SALA
La rueda de la maravilla,Woody Allen,Continua en Cartelera,EUA,2798,20,ADULTOS,2018,FEBRERO,SALA
The Disaster Artist: obra maestra,James Franco,Continua en Cartelera,EUA,1935,21,ADULTOS,2018,FEBRERO,SALA
Historia de fantasmas,David Lowery,Continua en Cartelera,EUA,1337,11,ADULTOS,2018,FEBRERO,SALA
Beach rats: ratas de playa,Eliza Hittman,Continua en Cartelera,EUA,1025,12,ADULTOS,2018,FEBRERO,SALA
Good time: viviendo al límite,Josh Safdie / Benny Safdie,Continua en Cartelera,EUA,324,8,ADULTOS,2018,FEBRERO,SALA
Amazona,Clare Weiskopf y Nicolás van Hemelryck,Continua en Cartelera,Colombia,891,30,ADULTOS,2018,FEBRERO,SALA
Zama,Lucrecia Martel,Continua en Cartelera,Argentina / Brasil / España / Francia / México / EUA / Holanda / Portugal,157,4,ADULTOS,2018,FEBRERO,SALA
Charco: canciones del Río de la plata,Julián Chalde,Continua en Cartelera,Argentina,636,36,ADULTOS,2018,FEBRERO,SALA
En la penumbra,Fatih Akin,Continua en Cartelera,Alemania / Francia,2754,32,ADULTOS,2018,FEBRERO,SALA
Los mejores años de Miss. Brodie,Ronald Neame,Charlas de cine y literatura: La situación de la mujer en el mundo,Reino Unido,190,1,ADULTOS,2018,FEBRERO,SALA
"Hiroshima, mi amor",Alain Resnais,Charlas de cine y literatura: La situación de la mujer en el mundo,Francia,190,1,ADULTOS,2018,FEBRERO,SALA
Reflejo en tus ojos dorados,John Huston,Charlas de cine y literatura: La situación de la mujer en el mundo,EUA,190,1,ADULTOS,2018,FEBRERO,SALA
Programa de cortometrajes 1,Varios,Ciclo de Cine Indígena de Michoacán,México,11,1,ADULTOS,2018,FEBRERO,SALA
Programa de cortometrajes 2,Varios,Ciclo de Cine Indígena de Michoacán,México,4,1,ADULTOS,2018,FEBRERO,SALA
Programa de cortometrajes 3,Varios,Ciclo de Cine Indígena de Michoacán,México,10,1,ADULTOS,2018,FEBRERO,SALA
Programa de cortometrajes 4,Varios,Ciclo de Cine Indígena de Michoacán,México,11,1,ADULTOS,2018,FEBRERO,SALA
La historia en la mirada,José Ramón Mikelajáuregui,Ciclo de Cine Indígena de Michoacán,México,40,1,ADULTOS,2018,FEBRERO,SALA
Maclovia,Emilio Fernández,Ciclo de Cine Indígena de Michoacán,México,35,1,ADULTOS,2018,FEBRERO,SALA
Janitzio,Carlos Navarro,Ciclo de Cine Indígena de Michoacán,México,33,1,ADULTOS,2018,FEBRERO,SALA
El brazo fuerte,Giovanni Korporaal,Ciclo de Cine Indígena de Michoacán,México,28,1,ADULTOS,2018,FEBRERO,SALA
Eréndira Ikikunari,Juan Roberto Mora Catlett,Ciclo de Cine Indígena de Michoacán,México,21,1,ADULTOS,2018,FEBRERO,SALA
¡Qué lindo es Michoacán!,Ismael Rodríguez,Ciclo de Cine Indígena de Michoacán,México,17,1,ADULTOS,2018,FEBRERO,SALA
Un paso hacia el camaleón,Francisco Fuentes,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
Tzintzuntzan semana santa,Prod. Pavel Rodríguez,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
Tsïri k’uinchekua / La fiesta del agua,Juan José Estrada Serafín,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
T-Rex,Ernesto Martínez,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
Relación de Michoacán voces ancestrales,Pavel Rodríguez Guillén,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
Nuestro bosque,Prod. Autoridades de la comunidad de Pichataron Mich,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
Mi trabajo,Francisco Manuel Rodríguez,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
Mensajero de los dioses,Pavel Rodríguez,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
Luz de día,Mauricio Calderón,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
La que tiene hambre,Pavel Rodríguez Guillen,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
La palabra del consejero,Manuel Bautista Medina,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
Dar servicio a la gente,Raúl Máximo Cortés,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
Ceniza,Ernesto Martínez,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
Caminando hacia la autonomía,Prod. TV Cherán,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
Así me trajo Dios la mundo,Así me trajo Dios al mundo,Ciclo de Cine Indígena de Michoacán,México,,,ADULTOS,2018,FEBRERO,SALA
Nixantolo (23/02/18),Hiram Va?zquez,Cineclub 43,México,86,1,ADULTOS,2018,FEBRERO,SALA
La familia Dressel,Fernando de Fuentes,Clásicos en pantalla grande,México,331,2,ADULTOS,2018,FEBRERO,SALA
El salario del miedo,Henri-Georges Clouzot,Clásicos en pantalla grande,Francia / Italia,446,2,ADULTOS,2018,FEBRERO,SALA
La novicia rebelde,Robert Wise,Clásicos en pantalla grande,EUA,818,3,ADULTOS,2018,FEBRERO,SALA
Doctor Zhivago,David Lean,Clásicos en pantalla grande,EUA,710,2,ADULTOS,2018,FEBRERO,SALA
De Ida y vuelta,Salvador Aguirre,Conversando con nuestros cineastas: Cineastas destacados,México,208,2,ADULTOS,2018,FEBRERO,SALA
La región salvaje,Amat Escalante,Estrenos,México,5688,43,ADULTOS,2018,FEBRERO,SALA
El maíz en tiempos de guerra,Alberto Cortés,Estrenos,México,3475,45,ADULTOS,2018,FEBRERO,SALA
Bosque de niebla,Mónica Álvarez Franco,Estrenos,México,1616,24,ADULTOS,2018,FEBRERO,SALA
Vivir,Akira Kurosawa,Estrenos,Japón,1491,18,ADULTOS,2018,FEBRERO,SALA
Luces en el cielo (subtitulada),Akiyuki Shinbou y Nobuyuki Takeuchi,Estrenos,Japón,1306,6,ADULTOS,2018,FEBRERO,SALA
Luces en el cielo (doblada),Akiyuki Shinbou y Nobuyuki Takeuchi,Estrenos,Japón,548,6,ADULTOS,2018,FEBRERO,SALA
Llámame por tu nombre,Luca Guadagnino,Estrenos,Italia,12157,55,ADULTOS,2018,FEBRERO,SALA
En los bosques de Siberia,Safy Nebbou,Estrenos,Francia,678,11,ADULTOS,2018,FEBRERO,SALA
El sacrificio del ciervo sagrado,Yorgos Lanthimos,Estrenos,EUA,6301,37,ADULTOS,2018,FEBRERO,SALA
El hilo fantasma,Paul Thomas Anderson,Estrenos,EUA,2722,12,ADULTOS,2018,FEBRERO,SALA
"Sistiaga, una historia vasca",Manuel Sorto,Estrenos,España,562,,ADULTOS,2018,FEBRERO,SALA
La isla mínima,Alberto Rodríguez,Estrenos,España,402,,ADULTOS,2018,FEBRERO,SALA
El Tila. Fragmentos de un psicópata,Alejandro Torres,Estrenos,Chile,2749,,ADULTOS,2018,FEBRERO,SALA
Autocrítica de un perrito burgués,Julian Radlmaier,Estrenos,Alemania-Italia,1810,,ADULTOS,2018,FEBRERO,SALA
Buscando a Sugarman,Malik Bendjelloul,Festival de Cine de Música de México,Suecia-Reino Unido,174,1,ADULTOS,2018,FEBRERO,SALA
The exhibition of a film / Una exposición de Mathieu,Mathieu Copeland,Función especial,Varios,29,,ADULTOS,2018,FEBRERO,SALA
El lugar sin límites,Arturo Ripstein,Función especial,México,174,1,ADULTOS,2018,FEBRERO,SALA
Bellas de noche,María José Cuevas,Función especial,México,80,1,ADULTOS,2018,FEBRERO,SALA
Por si no te vuelvo a ver,Juan Pablo Villaseñor,Función especial,México,15,,ADULTOS,2018,FEBRERO,SALA
La Pivellina,Tizza Covi y Rainer Frimmel,Función especial,Austria / Italia,30,1,ADULTOS,2018,FEBRERO,SALA
Verbenas culturales,varios,Función vinculación,Varios,100,1,NIÑOS,2018,FEBRERO,SALA
Ida,Pawel Pawlikowski,Función vinculación,Polonia / Dinamarca,22,,ADULTOS,2018,FEBRERO,SALA
Liv & Ingmar,Dheeraj Akolkar,Función vinculación,Noruega-Suecia-Reino Unido,30,1,ADULTOS,2018,FEBRERO,SALA
La revolución de Juan Escopeta,Jorge Estrada,Función vinculación,México,200,1,NIÑOS,2018,FEBRERO,SALA
Del olvido al no me acuerdo,Juan Carlos Rulfo,Función vinculación,México,21,1,ADULTOS,2018,FEBRERO,SALA
Topo,Shion Sono,Función vinculación,Japón,50,1,ADULTOS,2018,FEBRERO,SALA
Cortometrajes mexicanos premiados en Girona,Varios,Lluis Valenti,Varios,190,1,ADULTOS,2018,FEBRERO,SALA
Polvo de estrellas,Iván Zárate,Lluis Valenti,México,,,ADULTOS,2018,FEBRERO,SALA
Polvo blanco,Silverio Palacios Montes,Lluis Valenti,México,,,ADULTOS,2018,FEBRERO,SALA
Plomo sediento,Fernando Corona,Lluis Valenti,México,,,ADULTOS,2018,FEBRERO,SALA
Pigs,Diego Cataño Elizondo,Lluis Valenti,México,,,ADULTOS,2018,FEBRERO,SALA
