Date,Open,High,Low,Close,Adj Close,Volume
2016-12-24,7.152420,7.405430,7.152420,7.265770,7.265770,7626020
2016-12-25,7.264850,7.341660,7.138860,7.175080,7.175080,8671840
2016-12-26,7.132100,7.333820,7.047510,7.274090,7.274090,5836810
2016-12-27,7.276370,7.322580,7.090470,7.170820,7.170820,8778610
2016-12-28,7.148950,7.624060,7.082250,7.520110,7.520110,17453300
2016-12-29,7.539130,8.527410,7.539130,8.284160,8.284160,27543800
2016-12-30,8.289880,8.466090,8.054680,8.159980,8.159980,13909900
2016-12-31,8.151150,8.158560,7.909380,7.969100,7.969100,9066800
2017-01-01,7.982310,8.471230,7.982310,8.172570,8.172570,14731700
2017-01-02,8.170870,8.436330,8.054410,8.378510,8.378510,14579600
2017-01-03,8.374580,9.996800,8.317170,9.725250,9.725250,33625200
2017-01-04,9.709290,11.276400,9.559810,11.251600,11.251600,41051200
2017-01-05,11.286800,11.890900,9.402680,10.254400,10.254400,41557400
2017-01-06,10.285800,10.629200,9.627290,10.254700,10.254700,29471800
2017-01-07,10.240900,10.280400,9.585850,9.867190,9.867190,23153600
2017-01-08,9.872580,10.394800,9.828900,10.289800,10.289800,16676600
2017-01-09,10.313800,10.783800,10.136600,10.325600,10.325600,25718300
2017-01-10,10.369500,10.689800,10.289800,10.549600,10.549600,10879700
2017-01-11,10.541500,10.663900,9.456800,9.717760,9.717760,26823500
2017-01-12,9.721390,10.084000,9.175580,9.861330,9.861330,30453800
2017-01-13,9.827220,9.853820,9.514380,9.769500,9.769500,25066600
2017-01-14,9.786450,9.890840,9.443980,9.646660,9.646660,20085800
2017-01-15,9.829200,9.999620,9.597410,9.904260,9.904260,14837900
2017-01-16,9.883530,9.925920,9.583570,9.636500,9.636500,14937400
2017-01-17,9.639620,10.610400,9.544620,10.302300,10.302300,18391900
2017-01-18,10.296400,10.516800,9.935290,10.227800,10.227800,10788200
2017-01-19,10.240500,10.444000,10.178900,10.397200,10.397200,8347550
2017-01-20,10.386800,10.762700,10.352100,10.600600,10.600600,10992800
2017-01-21,10.595500,10.977800,10.580000,10.909200,10.909200,11937600
2017-01-22,10.910100,10.971800,10.576300,10.703200,10.703200,8678620
2017-01-23,10.709900,10.844700,10.669000,10.820800,10.820800,7267210
2017-01-24,10.727900,10.772300,10.571300,10.632500,10.632500,8327330
2017-01-25,10.618500,10.618500,10.484000,10.570500,10.570500,6751450
2017-01-26,10.567200,10.667700,10.513500,10.589100,10.589100,8465020
2017-01-27,10.584100,10.607000,10.442300,10.537300,10.537300,7189170
2017-01-28,10.538300,10.583200,10.429300,10.565000,10.565000,6580700
2017-01-29,10.561700,10.569700,10.451700,10.484000,10.484000,4689950
2017-01-30,10.493800,10.714000,10.466500,10.571200,10.571200,8042180
2017-01-31,10.564200,10.748700,10.545000,10.727500,10.727500,11648700
2017-02-01,10.741300,10.847200,10.556600,10.732100,10.732100,12852200
2017-02-02,10.735500,10.888100,10.551900,10.821400,10.821400,10172500
2017-02-03,10.812500,11.114500,10.755000,11.114500,11.114500,12897800
2017-02-04,11.128700,11.501500,11.128700,11.433500,11.433500,14139500
2017-02-05,11.442200,11.486100,11.316900,11.353000,11.353000,5942960
2017-02-06,11.353900,11.475400,11.344600,11.389400,11.389400,5695440
2017-02-07,11.425300,11.609800,11.415000,11.515300,11.515300,7629640
2017-02-08,11.540200,11.630400,11.243400,11.431200,11.431200,9688630
2017-02-09,11.435900,11.598000,10.674500,11.032200,11.032200,18400300
2017-02-10,11.045000,11.344700,10.781200,11.278900,11.278900,11914200
2017-02-11,11.290800,11.431800,11.242400,11.349500,11.349500,7544520
2017-02-12,11.353300,11.401300,11.304000,11.399200,11.399200,6264900
2017-02-13,11.383600,11.394900,11.174100,11.269500,11.269500,7216520
2017-02-14,11.286400,13.330700,11.286400,13.025200,13.025200,42911500
2017-02-15,13.039700,13.039700,12.637100,12.919700,12.919700,18464700
2017-02-16,12.921000,12.921000,12.544700,12.903700,12.903700,38002600
2017-02-17,12.898500,12.908100,12.664600,12.676500,12.676500,11636500
2017-02-18,12.708400,12.825800,12.678800,12.810200,12.810200,9370010
2017-02-19,12.817600,12.873300,12.714400,12.758500,12.758500,7799740
2017-02-20,12.765200,12.896700,12.430100,12.430100,12.430100,12994400
2017-02-21,12.342200,12.770900,12.210100,12.668400,12.668400,15183300
2017-02-22,12.687200,12.762500,12.552600,12.599700,12.599700,10360900
2017-02-23,12.598100,13.207800,12.563800,13.119400,13.119400,14522300
2017-02-24,13.134300,13.232300,12.882800,13.069200,13.069200,19574400
2017-02-25,13.063800,13.723900,12.980700,13.548700,13.548700,18533900
2017-02-26,13.517700,14.543100,13.395300,14.520000,14.520000,20307500
2017-02-27,14.505800,15.675200,14.274000,15.396500,15.396500,31667000
2017-02-28,15.450700,16.059401,15.123300,15.817200,15.817200,65478900
2017-03-01,15.847200,17.371099,15.558900,17.349701,17.349701,44927500
2017-03-02,17.355301,19.353001,16.954000,19.030199,19.030199,83627104
2017-03-03,19.042801,20.667400,18.411200,19.459000,19.459000,95863400
2017-03-04,19.517099,20.055000,18.618900,18.618900,18.618900,27341900
2017-03-05,18.502800,19.423201,18.232300,19.302299,19.302299,26816300
2017-03-06,19.282301,20.102301,19.114799,19.605700,19.605700,32432700
2017-03-07,19.579100,19.629900,18.642599,18.888599,18.888599,37972200
2017-03-08,18.882500,18.882500,16.651300,16.651300,16.651300,44304600
2017-03-09,16.640100,17.872601,16.366501,17.754700,17.754700,31418400
2017-03-10,17.740900,19.658800,17.677299,19.332300,19.332300,87506800
2017-03-11,19.374599,21.588200,19.007000,21.472500,21.472500,69150096
2017-03-12,21.464899,23.437700,21.379499,23.437700,23.437700,74628896
2017-03-13,23.504900,30.603800,23.504900,28.592899,28.592899,255488000
2017-03-14,28.571899,29.932899,27.315300,28.654600,28.654600,101797000
2017-03-15,28.645100,35.055901,28.433201,35.055901,35.055901,170344000
2017-03-16,35.357300,47.169800,35.357300,46.345798,46.345798,454417984
2017-03-17,45.929501,55.114700,38.207001,46.827999,46.827999,497534016
2017-03-18,46.874199,46.874199,31.702101,34.160198,34.160198,262180000
2017-03-19,35.529701,46.995998,35.341599,44.740101,44.740101,239430000
2017-03-20,44.833599,46.228901,42.444698,43.390202,43.390202,154700992
2017-03-21,43.509800,44.262299,42.370701,43.145100,43.145100,91265400
2017-03-22,43.122501,43.518700,39.687801,42.342098,42.342098,113952000
2017-03-23,42.565201,44.754799,41.302502,43.678398,43.678398,100724000
2017-03-24,43.638000,54.144798,43.205700,53.107498,53.107498,297046016
2017-03-25,53.575901,53.575901,48.311699,51.250000,51.250000,223059008
2017-03-26,50.769901,51.802898,49.283901,50.521599,50.521599,106859000
2017-03-27,51.312099,52.460899,48.929798,49.666901,49.666901,118978000
2017-03-28,49.710400,50.956299,49.145100,50.774899,50.774899,97745296
2017-03-29,50.569302,53.868999,50.548500,53.126099,53.126099,144998000
2017-03-30,53.124500,53.313999,51.866798,52.205799,52.205799,86885696
2017-03-31,51.753700,51.768299,47.380299,50.037300,50.037300,151416000
2017-04-01,50.033699,51.928299,48.875301,50.699501,50.699501,92461904
